CCAA;ANYO;EVIDA_H;EVIDA_M;EVIDA_T;GASTO_PROTG;GASTO_TOT;EVH_ME;EVM_ME;EVT_ME;GASTO_POBT;EVH_AG;
Cantabria (CB);2019;80,98;86,62;83,86;1736,75;1684;1;1;1;2;2;
Castilla - La Mancha (CM);2019;81,38;86,34;83,83;1594,99;1507;2;1;1;1;1;
Castilla y León (CL);2019;81,71;87,46;84,55;1727,62;1663;2;2;2;2;2;
Cataluña (CT);2019;81,25;87,04;84,20;1599,39;1503;2;2;2;1;1;
Comunitat Valenciana (VC);2019;80,59;86,20;83,41;1572,82;1469;1;1;1;1;1;
Extremadura (EX);2019;80,08;86,06;83,01;1735,43;1678;1;1;1;2;2;
Galicia (GA);2019;80,87;86,95;83,95;1616,15;1568;1;2;2;1;1;
La Rioja (RI);2019;81,18;86,98;84,06;1559,09;1523;2;2;2;1;1;
Madrid, Comunidad de (MD);2019;82,90;88,12;85,69;1363,55;1345;2;2;2;1;1;
Murcia, Región de (MC);2019;80,22;85,30;82,76;1676,81;1634;1;1;1;2;2;
